"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Foreign Travel (D214H)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","16.0560564"
"Foreign Travel (D214H)","1996","General Government - Total (S.13)","€milllion","16.0560564"
"Foreign Travel (D214H)","1996","General Government - Central Government (S.1311)","€milllion","16.0560564"
"Foreign Travel (D214H)","1996","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","1996","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","18.8815855"
"Foreign Travel (D214H)","1997","General Government - Total (S.13)","€milllion","18.8815855"
"Foreign Travel (D214H)","1997","General Government - Central Government (S.1311)","€milllion","18.8815855"
"Foreign Travel (D214H)","1997","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","1997","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","21.166742"
"Foreign Travel (D214H)","1998","General Government - Total (S.13)","€milllion","21.166742"
"Foreign Travel (D214H)","1998","General Government - Central Government (S.1311)","€milllion","21.166742"
"Foreign Travel (D214H)","1998","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","1998","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","20.549012"
"Foreign Travel (D214H)","1999","General Government - Total (S.13)","€milllion","20.549012"
"Foreign Travel (D214H)","1999","General Government - Central Government (S.1311)","€milllion","20.549012"
"Foreign Travel (D214H)","1999","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","1999","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","1.927882"
"Foreign Travel (D214H)","2000","General Government - Total (S.13)","€milllion","1.927882"
"Foreign Travel (D214H)","2000","General Government - Central Government (S.1311)","€milllion","1.927882"
"Foreign Travel (D214H)","2000","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2000","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","0.039508"
"Foreign Travel (D214H)","2001","General Government - Total (S.13)","€milllion","0.039508"
"Foreign Travel (D214H)","2001","General Government - Central Government (S.1311)","€milllion","0.039508"
"Foreign Travel (D214H)","2001","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2001","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","0.015859"
"Foreign Travel (D214H)","2002","General Government - Total (S.13)","€milllion","0.015859"
"Foreign Travel (D214H)","2002","General Government - Central Government (S.1311)","€milllion","0.015859"
"Foreign Travel (D214H)","2002","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2002","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2002","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","-0.045159"
"Foreign Travel (D214H)","2003","General Government - Total (S.13)","€milllion","-0.045159"
"Foreign Travel (D214H)","2003","General Government - Central Government (S.1311)","€milllion","-0.045159"
"Foreign Travel (D214H)","2003","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2003","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2003","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","-0.042793"
"Foreign Travel (D214H)","2004","General Government - Total (S.13)","€milllion","-0.042793"
"Foreign Travel (D214H)","2004","General Government - Central Government (S.1311)","€milllion","-0.042793"
"Foreign Travel (D214H)","2004","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2004","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2004","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2005","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2005","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2005","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2005","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2005","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2006","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2006","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2006","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2006","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2006","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2007","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2007","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2007","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2007","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2008","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2008","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2008","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2008","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2009","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2009","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2009","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2009","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2010","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2010","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2010","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2010","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2010","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2011","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2011","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2011","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2011","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2011","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2012","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2012","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2012","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2012","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2012","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2013","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2013","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2013","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2013","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2013","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2014","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2014","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2014","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2014","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2015","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2015","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2015","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2015","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2015","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2016","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2016","General Government - Central Government (S.1311)","€milllion","0"
"Foreign Travel (D214H)","2016","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","2016","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","2016","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Foreign Travel (D214H)","2017","General Government - Total (S.13)","€milllion","0"
"Foreign Travel (D214H)","2017","General Government - Central Government (S.1311)","€milllion","0"
